"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Sea to Great Britain","Number","30660"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","291"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement Cross-Border Rail","Number","14131"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement Cross-Border Bus","Number","46785"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Air from All Airports","Number","25442"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","21967"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Air from Cork Airport","Number","1473"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","2002"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","734"
"Passenger Movement","1961M12","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1268"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","20089"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","19994"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","95"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","9667"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","40218"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Air from All Airports","Number","19558"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","16954"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","1074"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","1530"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","877"
"Passenger Movement","1962M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","653"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement by Sea to All Countries","Number","42042"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement by Sea to Great Britain","Number","41940"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","102"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement Cross-Border Rail","Number","9736"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement Cross-Border Bus","Number","40276"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement by Air from All Airports","Number","28476"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","23144"
"Passenger Movement","1962M01","Departing Eire","Passenger Movement by Air from Cork Airport","Number","1704"
