"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2014","Thousand","1691"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2015","Thousand","1811"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2016","Thousand","2300"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2017","Thousand","2449"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2018","Thousand","2361"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Business","2019","Thousand","2557"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2009","Thousand","2623"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2010","Thousand","3040"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2011","Thousand","3831"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2012","Thousand","3218"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2013","Thousand","3288"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2014","Thousand","3705"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2015","Thousand","4538"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2016","Thousand","4792"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2017","Thousand","4897"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2018","Thousand","4688"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Other reason for journey","2019","Thousand","4582"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2009","Thousand","18177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2010","Thousand","15110"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2011","Thousand","14785"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2012","Thousand","13331"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2013","Thousand","14336"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2014","Thousand","16096"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2015","Thousand","15794"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2016","Thousand","17219"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2017","Thousand","16969"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2018","Thousand","17157"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All reasons for journey","2019","Thousand","17060"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2009","Thousand","2429"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2010","Thousand","2155"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2011","Thousand","2330"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Holiday/leisure/recreation","2012","Thousand","2067"
