"Statistic Label","Type of Accommodation Used","Area of Residence","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2017","Thousand","16969"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2018","Thousand","17157"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","All areas of residence","2019","Thousand","17060"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2009","Thousand","8492"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2010","Thousand","6747"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2011","Thousand","6751"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2012","Thousand","5702"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2013","Thousand","6196"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2014","Thousand","6417"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2015","Thousand","6145"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2016","Thousand","6674"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2017","Thousand","6617"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2018","Thousand","6396"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Great Britain","2019","Thousand","6338"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2009","Thousand","5665"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2010","Thousand","4472"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2011","Thousand","4269"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2012","Thousand","4360"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2013","Thousand","4450"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2014","Thousand","5404"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2015","Thousand","5290"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2016","Thousand","5886"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2017","Thousand","5136"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2018","Thousand","5614"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Europe","2019","Thousand","5596"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2009","Thousand","2127"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2010","Thousand","1884"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2011","Thousand","1818"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2012","Thousand","1429"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2013","Thousand","1647"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2014","Thousand","1722"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2015","Thousand","1779"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2016","Thousand","2036"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2017","Thousand","2177"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2018","Thousand","1960"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","USA and Canada","2019","Thousand","1998"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2009","Thousand","1893"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2010","Thousand","2008"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2011","Thousand","1947"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2012","Thousand","1840"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2013","Thousand","2043"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2014","Thousand","2554"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2015","Thousand","2581"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2016","Thousand","2624"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2017","Thousand","3038"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2018","Thousand","3188"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Friends/relatives","Other Areas","2019","Thousand","3128"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2009","Thousand","4484"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2010","Thousand","3989"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2011","Thousand","4169"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2012","Thousand","4074"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2013","Thousand","4451"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2014","Thousand","5171"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2015","Thousand","6729"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2016","Thousand","7854"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2017","Thousand","8594"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2018","Thousand","9575"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Guest house/bed &breakfast","All areas of residence","2019","Thousand","8930"
