"Type of Expenditure","Year","Statistic Label","UNIT","VALUE"
"Cross-Border","2005","Visitors to Ireland","Euro Million","235"
"Cross-Border","2005","Visits Abroad by Irish Residents","Euro Million","131"
"Cross-Border","2006","Visitors to Ireland","Euro Million","237"
"Cross-Border","2006","Visits Abroad by Irish Residents","Euro Million","131"
"Cross-Border","2007","Visitors to Ireland","Euro Million","256"
"Cross-Border","2007","Visits Abroad by Irish Residents","Euro Million","142"
"Cross-Border","2008","Visitors to Ireland","Euro Million","262"
"Cross-Border","2008","Visits Abroad by Irish Residents","Euro Million","145"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1976","Visitors to Ireland","Euro Million","58"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1976","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1977","Visitors to Ireland","Euro Million","67"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1977","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1978","Visitors to Ireland","Euro Million","84"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1978","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1979","Visitors to Ireland","Euro Million","95"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1979","Visits Abroad by Irish Residents","Euro Million",""
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1980","Visitors to Ireland","Euro Million","110"
"Passenger fare receipts of Irish Carriers from Visits to Ireland","1980","Visits Abroad by Irish Residents","Euro Million",""
