"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2018Q3","United States and Canada","Thousand","187"
"Number of Trips by Irish Residents","2018Q3","Great Britain","Thousand","511"
"Number of Trips by Irish Residents","2018Q3","Northern Ireland","Thousand","187"
"Number of Trips by Irish Residents","2018Q3","Asia (7)","Thousand","79"
"Number of Trips by Irish Residents","2018Q3","Other Europe (22)","Thousand","410"
"Number of Trips by Irish Residents","2018Q3","Other countries (26)","Thousand","62"
"Number of Trips by Irish Residents","2018Q4","All Countries","Thousand","2015"
"Number of Trips by Irish Residents","2018Q4","Germany","Thousand","127"
"Number of Trips by Irish Residents","2018Q4","Spain","Thousand","304"
"Number of Trips by Irish Residents","2018Q4","France","Thousand","106"
"Number of Trips by Irish Residents","2018Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","781"
"Number of Trips by Irish Residents","2018Q4","Italy","Thousand","75"
"Number of Trips by Irish Residents","2018Q4","Portugal","Thousand","62"
"Number of Trips by Irish Residents","2018Q4","United States and Canada","Thousand","158"
"Number of Trips by Irish Residents","2018Q4","Great Britain","Thousand","570"
"Number of Trips by Irish Residents","2018Q4","Northern Ireland","Thousand","211"
"Number of Trips by Irish Residents","2018Q4","Asia (7)","Thousand","48"
"Number of Trips by Irish Residents","2018Q4","Other Europe (22)","Thousand","301"
"Number of Trips by Irish Residents","2018Q4","Other countries (26)","Thousand","53"
"Number of Trips by Irish Residents","2019Q1","All Countries","Thousand","1811"
"Number of Trips by Irish Residents","2019Q1","Germany","Thousand","68"
"Number of Trips by Irish Residents","2019Q1","Spain","Thousand","283"
"Number of Trips by Irish Residents","2019Q1","France","Thousand","90"
"Number of Trips by Irish Residents","2019Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","656"
"Number of Trips by Irish Residents","2019Q1","Italy","Thousand","73"
"Number of Trips by Irish Residents","2019Q1","Portugal","Thousand","41"
"Number of Trips by Irish Residents","2019Q1","United States and Canada","Thousand","123"
"Number of Trips by Irish Residents","2019Q1","Great Britain","Thousand","515"
"Number of Trips by Irish Residents","2019Q1","Northern Ireland","Thousand","141"
"Number of Trips by Irish Residents","2019Q1","Asia (7)","Thousand","91"
"Number of Trips by Irish Residents","2019Q1","Other Europe (22)","Thousand","327"
"Number of Trips by Irish Residents","2019Q1","Other countries (26)","Thousand","59"
"Number of Trips by Irish Residents","2019Q2","All Countries","Thousand","2555"
"Number of Trips by Irish Residents","2019Q2","Germany","Thousand","61"
"Number of Trips by Irish Residents","2019Q2","Spain","Thousand","531"
"Number of Trips by Irish Residents","2019Q2","France","Thousand","163"
