"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2019Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","809"
"Number of Trips by Irish Residents","2019Q2","Italy","Thousand","232"
"Number of Trips by Irish Residents","2019Q2","Portugal","Thousand","184"
"Number of Trips by Irish Residents","2019Q2","United States and Canada","Thousand","120"
"Number of Trips by Irish Residents","2019Q2","Great Britain","Thousand","599"
"Number of Trips by Irish Residents","2019Q2","Northern Ireland","Thousand","210"
"Number of Trips by Irish Residents","2019Q2","Asia (7)","Thousand","71"
"Number of Trips by Irish Residents","2019Q2","Other Europe (22)","Thousand","328"
"Number of Trips by Irish Residents","2019Q2","Other countries (26)","Thousand","55"
"Number of Trips by Irish Residents","2019Q3","All Countries","Thousand","2905"
"Number of Trips by Irish Residents","2019Q3","Germany","Thousand","67"
"Number of Trips by Irish Residents","2019Q3","Spain","Thousand","716"
"Number of Trips by Irish Residents","2019Q3","France","Thousand","247"
"Number of Trips by Irish Residents","2019Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","761"
"Number of Trips by Irish Residents","2019Q3","Italy","Thousand","203"
"Number of Trips by Irish Residents","2019Q3","Portugal","Thousand","224"
"Number of Trips by Irish Residents","2019Q3","United States and Canada","Thousand","177"
"Number of Trips by Irish Residents","2019Q3","Great Britain","Thousand","582"
"Number of Trips by Irish Residents","2019Q3","Northern Ireland","Thousand","180"
"Number of Trips by Irish Residents","2019Q3","Asia (7)","Thousand","62"
"Number of Trips by Irish Residents","2019Q3","Other Europe (22)","Thousand","418"
"Number of Trips by Irish Residents","2019Q3","Other countries (26)","Thousand","30"
"Number of Trips by Irish Residents","2019Q4","All Countries","Thousand","2079"
"Number of Trips by Irish Residents","2019Q4","Germany","Thousand","65"
"Number of Trips by Irish Residents","2019Q4","Spain","Thousand","351"
"Number of Trips by Irish Residents","2019Q4","France","Thousand","110"
"Number of Trips by Irish Residents","2019Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","833"
"Number of Trips by Irish Residents","2019Q4","Italy","Thousand","82"
"Number of Trips by Irish Residents","2019Q4","Portugal","Thousand","73"
"Number of Trips by Irish Residents","2019Q4","United States and Canada","Thousand","163"
"Number of Trips by Irish Residents","2019Q4","Great Britain","Thousand","608"
"Number of Trips by Irish Residents","2019Q4","Northern Ireland","Thousand","225"
"Number of Trips by Irish Residents","2019Q4","Asia (7)","Thousand","77"
"Number of Trips by Irish Residents","2019Q4","Other Europe (22)","Thousand","277"
"Number of Trips by Irish Residents","2019Q4","Other countries (26)","Thousand","49"
"Number of Trips by Irish Residents","2020Q1","All Countries","Thousand","1575"
"Number of Trips by Irish Residents","2020Q1","Germany","Thousand","43"
"Number of Trips by Irish Residents","2020Q1","Spain","Thousand","232"
"Number of Trips by Irish Residents","2020Q1","France","Thousand","85"
"Number of Trips by Irish Residents","2020Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","519"
"Number of Trips by Irish Residents","2020Q1","Italy","Thousand","53"
"Number of Trips by Irish Residents","2020Q1","Portugal","Thousand","38"
"Number of Trips by Irish Residents","2020Q1","United States and Canada","Thousand","134"
"Number of Trips by Irish Residents","2020Q1","Great Britain","Thousand","426"
"Number of Trips by Irish Residents","2020Q1","Northern Ireland","Thousand","93"
"Number of Trips by Irish Residents","2020Q1","Asia (7)","Thousand","72"
"Number of Trips by Irish Residents","2020Q1","Other Europe (22)","Thousand","327"
"Number of Trips by Irish Residents","2020Q1","Other countries (26)","Thousand","71"
"Number of Trips by Irish Residents","2020Q2","All Countries","Thousand","60"
"Number of Trips by Irish Residents","2020Q2","Germany","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Spain","Thousand",""
"Number of Trips by Irish Residents","2020Q2","France","Thousand",""
"Number of Trips by Irish Residents","2020Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Italy","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Portugal","Thousand",""
"Number of Trips by Irish Residents","2020Q2","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Great Britain","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Northern Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Asia (7)","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other Europe (22)","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other countries (26)","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All Countries","Thousand","530"
"Number of Trips by Irish Residents","2020Q3","Germany","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Spain","Thousand",""
"Number of Trips by Irish Residents","2020Q3","France","Thousand",""
"Number of Trips by Irish Residents","2020Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Italy","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Portugal","Thousand",""
"Number of Trips by Irish Residents","2020Q3","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Great Britain","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Northern Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Asia (7)","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other Europe (22)","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other countries (26)","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All Countries","Thousand","200"
"Number of Trips by Irish Residents","2020Q4","Germany","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Spain","Thousand",""
"Number of Trips by Irish Residents","2020Q4","France","Thousand",""
"Number of Trips by Irish Residents","2020Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Italy","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Portugal","Thousand",""
"Number of Trips by Irish Residents","2020Q4","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Great Britain","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Northern Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Asia (7)","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other Europe (22)","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other countries (26)","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All Countries","Thousand","108"
"Number of Trips by Irish Residents","2021Q1","Germany","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Spain","Thousand","6"
"Number of Trips by Irish Residents","2021Q1","France","Thousand",""
"Number of Trips by Irish Residents","2021Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","41"
"Number of Trips by Irish Residents","2021Q1","Italy","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Portugal","Thousand",""
"Number of Trips by Irish Residents","2021Q1","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Great Britain","Thousand","18"
"Number of Trips by Irish Residents","2021Q1","Northern Ireland","Thousand","23"
"Number of Trips by Irish Residents","2021Q1","Asia (7)","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Other Europe (22)","Thousand","61"
"Number of Trips by Irish Residents","2021Q1","Other countries (26)","Thousand",""
"Number of Trips by Irish Residents","2021Q2","All Countries","Thousand","168"
"Number of Trips by Irish Residents","2021Q2","Germany","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Spain","Thousand","2"
"Number of Trips by Irish Residents","2021Q2","France","Thousand",""
"Number of Trips by Irish Residents","2021Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","111"
"Number of Trips by Irish Residents","2021Q2","Italy","Thousand","21"
"Number of Trips by Irish Residents","2021Q2","Portugal","Thousand","2"
"Number of Trips by Irish Residents","2021Q2","United States and Canada","Thousand","9"
"Number of Trips by Irish Residents","2021Q2","Great Britain","Thousand","19"
"Number of Trips by Irish Residents","2021Q2","Northern Ireland","Thousand","92"
"Number of Trips by Irish Residents","2021Q2","Asia (7)","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Other Europe (22)","Thousand","23"
"Number of Trips by Irish Residents","2021Q2","Other countries (26)","Thousand",""
"Number of Trips by Irish Residents","2021Q3","All Countries","Thousand","907"
"Number of Trips by Irish Residents","2021Q3","Germany","Thousand","4"
"Number of Trips by Irish Residents","2021Q3","Spain","Thousand","119"
"Number of Trips by Irish Residents","2021Q3","France","Thousand","38"
"Number of Trips by Irish Residents","2021Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","467"
"Number of Trips by Irish Residents","2021Q3","Italy","Thousand","18"
"Number of Trips by Irish Residents","2021Q3","Portugal","Thousand","52"
"Number of Trips by Irish Residents","2021Q3","United States and Canada","Thousand","1"
"Number of Trips by Irish Residents","2021Q3","Great Britain","Thousand","169"
"Number of Trips by Irish Residents","2021Q3","Northern Ireland","Thousand","298"
"Number of Trips by Irish Residents","2021Q3","Asia (7)","Thousand",""
"Number of Trips by Irish Residents","2021Q3","Other Europe (22)","Thousand","158"
"Number of Trips by Irish Residents","2021Q3","Other countries (26)","Thousand","49"
"Number of Trips by Irish Residents","2021Q4","All Countries","Thousand","1094"
"Number of Trips by Irish Residents","2021Q4","Germany","Thousand","53"
"Number of Trips by Irish Residents","2021Q4","Spain","Thousand","144"
"Number of Trips by Irish Residents","2021Q4","France","Thousand","110"
"Number of Trips by Irish Residents","2021Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","465"
"Number of Trips by Irish Residents","2021Q4","Italy","Thousand","21"
"Number of Trips by Irish Residents","2021Q4","Portugal","Thousand","61"
"Number of Trips by Irish Residents","2021Q4","United States and Canada","Thousand","38"
"Number of Trips by Irish Residents","2021Q4","Great Britain","Thousand","330"
"Number of Trips by Irish Residents","2021Q4","Northern Ireland","Thousand","135"
"Number of Trips by Irish Residents","2021Q4","Asia (7)","Thousand","37"
"Number of Trips by Irish Residents","2021Q4","Other Europe (22)","Thousand","156"
"Number of Trips by Irish Residents","2021Q4","Other countries (26)","Thousand","10"
"Number of Trips by Irish Residents","2022Q1","All Countries","Thousand","1063"
"Number of Trips by Irish Residents","2022Q1","Germany","Thousand","21"
"Number of Trips by Irish Residents","2022Q1","Spain","Thousand","145"
"Number of Trips by Irish Residents","2022Q1","France","Thousand","87"
"Number of Trips by Irish Residents","2022Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","454"
"Number of Trips by Irish Residents","2022Q1","Italy","Thousand","31"
"Number of Trips by Irish Residents","2022Q1","Portugal","Thousand","31"
"Number of Trips by Irish Residents","2022Q1","United States and Canada","Thousand","46"
"Number of Trips by Irish Residents","2022Q1","Great Britain","Thousand","232"
"Number of Trips by Irish Residents","2022Q1","Northern Ireland","Thousand","222"
"Number of Trips by Irish Residents","2022Q1","Asia (7)","Thousand","13"
"Number of Trips by Irish Residents","2022Q1","Other Europe (22)","Thousand","208"
"Number of Trips by Irish Residents","2022Q1","Other countries (26)","Thousand","27"
"Number of Trips by Irish Residents","2022Q2","All Countries","Thousand","2175"
"Number of Trips by Irish Residents","2022Q2","Germany","Thousand","27"
"Number of Trips by Irish Residents","2022Q2","Spain","Thousand","484"
"Number of Trips by Irish Residents","2022Q2","France","Thousand","165"
"Number of Trips by Irish Residents","2022Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","696"
"Number of Trips by Irish Residents","2022Q2","Italy","Thousand","156"
"Number of Trips by Irish Residents","2022Q2","Portugal","Thousand","128"
"Number of Trips by Irish Residents","2022Q2","United States and Canada","Thousand","95"
"Number of Trips by Irish Residents","2022Q2","Great Britain","Thousand","478"
"Number of Trips by Irish Residents","2022Q2","Northern Ireland","Thousand","218"
"Number of Trips by Irish Residents","2022Q2","Asia (7)","Thousand","37"
"Number of Trips by Irish Residents","2022Q2","Other Europe (22)","Thousand","327"
"Number of Trips by Irish Residents","2022Q2","Other countries (26)","Thousand","61"
"Number of Trips by Irish Residents","2022Q3","All Countries","Thousand","3020"
"Number of Trips by Irish Residents","2022Q3","Germany","Thousand","80"
"Number of Trips by Irish Residents","2022Q3","Spain","Thousand","743"
"Number of Trips by Irish Residents","2022Q3","France","Thousand","233"
