"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"0 - 19 years","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","1365"
"0 - 19 years","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"0 - 19 years","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","641"
"0 - 19 years","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","3731"
"0 - 19 years","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"0 - 19 years","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","390"
"0 - 19 years","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","975"
"0 - 19 years","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"0 - 19 years","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","276"
"0 - 19 years","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","710"
"0 - 19 years","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"0 - 19 years","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","400"
"0 - 19 years","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","1398"
"0 - 19 years","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"0 - 19 years","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","575"
"0 - 19 years","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","3825"
"0 - 19 years","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"0 - 19 years","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","380"
"0 - 19 years","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","1087"
"0 - 19 years","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"0 - 19 years","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","391"
"0 - 19 years","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","1077"
"0 - 19 years","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"0 - 19 years","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","399"
"0 - 19 years","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","1325"
"0 - 19 years","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"0 - 19 years","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","587"
"0 - 19 years","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","3598"
"0 - 19 years","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"0 - 19 years","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","386"
"0 - 19 years","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","1071"
"0 - 19 years","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"0 - 19 years","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","321"
"0 - 19 years","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","752"
"0 - 19 years","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"0 - 19 years","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","469"
"0 - 19 years","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","1646"
"0 - 19 years","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"0 - 19 years","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","605"
"0 - 19 years","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","3291"
"0 - 19 years","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"0 - 19 years","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","384"
"0 - 19 years","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","980"
"0 - 19 years","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"0 - 19 years","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","193"
"0 - 19 years","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","1250"
"0 - 19 years","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.5"
"0 - 19 years","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","324"
"0 - 19 years","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","3371"
"0 - 19 years","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"0 - 19 years","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","490"
"0 - 19 years","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","5739"
"0 - 19 years","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.7"
"0 - 19 years","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","171"
"0 - 19 years","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","1116"
"0 - 19 years","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.5"
"0 - 19 years","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","195"
"0 - 19 years","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","1227"
"0 - 19 years","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"0 - 19 years","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","384"
"0 - 19 years","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","3641"
"0 - 19 years","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.5"
"0 - 19 years","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","512"
"0 - 19 years","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","5641"
"0 - 19 years","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","11"
"0 - 19 years","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","224"
"0 - 19 years","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","1368"
"0 - 19 years","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"0 - 19 years","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","228"
"0 - 19 years","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","1392"
"0 - 19 years","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"0 - 19 years","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","388"
"0 - 19 years","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","3446"
"0 - 19 years","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"0 - 19 years","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","537"
"0 - 19 years","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","5851"
"0 - 19 years","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.9"
"0 - 19 years","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","271"
"0 - 19 years","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","1575"
"0 - 19 years","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"0 - 19 years","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","318"
"0 - 19 years","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","1928"
"0 - 19 years","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"0 - 19 years","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","380"
"0 - 19 years","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","3505"
"0 - 19 years","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.2"
"0 - 19 years","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","552"
"0 - 19 years","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","6101"
"0 - 19 years","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.1"
"0 - 19 years","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","219"
"0 - 19 years","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","1241"
"0 - 19 years","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"0 - 19 years","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand","219"
"0 - 19 years","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand","1247"
"0 - 19 years","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"0 - 19 years","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand","350"
"0 - 19 years","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand","3271"
"0 - 19 years","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"0 - 19 years","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand","486"
"0 - 19 years","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand","5076"
"0 - 19 years","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"0 - 19 years","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand","189"
