"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2008Q2","All types of accommodation","Outbound","Thousand","2060"
"Number of Trips by Irish Residents","2008Q2","Friends/relatives","Domestic","Thousand","599"
"Number of Trips by Irish Residents","2008Q2","Friends/relatives","Outbound","Thousand","451"
"Number of Trips by Irish Residents","2008Q2","Hotel/conference centre","Domestic","Thousand","745"
"Number of Trips by Irish Residents","2008Q2","Hotel/conference centre","Outbound","Thousand","908"
"Number of Trips by Irish Residents","2008Q2","Self catering/rented house","Domestic","Thousand","123"
"Number of Trips by Irish Residents","2008Q2","Self catering/rented house","Outbound","Thousand","378"
"Number of Trips by Irish Residents","2008Q2","Other","Domestic","Thousand","58"
"Number of Trips by Irish Residents","2008Q2","Other","Outbound","Thousand","85"
"Number of Trips by Irish Residents","2008Q3","All types of accommodation","Domestic","Thousand","2544"
"Number of Trips by Irish Residents","2008Q3","All types of accommodation","Outbound","Thousand","2471"
"Number of Trips by Irish Residents","2008Q3","Friends/relatives","Domestic","Thousand","733"
"Number of Trips by Irish Residents","2008Q3","Friends/relatives","Outbound","Thousand","517"
"Number of Trips by Irish Residents","2008Q3","Hotel/conference centre","Domestic","Thousand","937"
"Number of Trips by Irish Residents","2008Q3","Hotel/conference centre","Outbound","Thousand","987"
"Number of Trips by Irish Residents","2008Q3","Self catering/rented house","Domestic","Thousand","276"
"Number of Trips by Irish Residents","2008Q3","Self catering/rented house","Outbound","Thousand","547"
"Number of Trips by Irish Residents","2008Q3","Other","Domestic","Thousand","82"
"Number of Trips by Irish Residents","2008Q3","Other","Outbound","Thousand","84"
"Number of Trips by Irish Residents","2008Q4","All types of accommodation","Domestic","Thousand","2077"
"Number of Trips by Irish Residents","2008Q4","All types of accommodation","Outbound","Thousand","1710"
"Number of Trips by Irish Residents","2008Q4","Friends/relatives","Domestic","Thousand","815"
"Number of Trips by Irish Residents","2008Q4","Friends/relatives","Outbound","Thousand","535"
"Number of Trips by Irish Residents","2008Q4","Hotel/conference centre","Domestic","Thousand","929"
"Number of Trips by Irish Residents","2008Q4","Hotel/conference centre","Outbound","Thousand","846"
"Number of Trips by Irish Residents","2008Q4","Self catering/rented house","Domestic","Thousand","74"
"Number of Trips by Irish Residents","2008Q4","Self catering/rented house","Outbound","Thousand","168"
"Number of Trips by Irish Residents","2008Q4","Other","Domestic","Thousand","44"
"Number of Trips by Irish Residents","2008Q4","Other","Outbound","Thousand","43"
"Number of Trips by Irish Residents","2009Q1","All types of accommodation","Domestic","Thousand","1760"
"Number of Trips by Irish Residents","2009Q1","All types of accommodation","Outbound","Thousand","1597"
"Number of Trips by Irish Residents","2009Q1","Friends/relatives","Domestic","Thousand","665"
"Number of Trips by Irish Residents","2009Q1","Friends/relatives","Outbound","Thousand","399"
"Number of Trips by Irish Residents","2009Q1","Hotel/conference centre","Domestic","Thousand","800"
"Number of Trips by Irish Residents","2009Q1","Hotel/conference centre","Outbound","Thousand","821"
"Number of Trips by Irish Residents","2009Q1","Self catering/rented house","Domestic","Thousand","61"
"Number of Trips by Irish Residents","2009Q1","Self catering/rented house","Outbound","Thousand","195"
"Number of Trips by Irish Residents","2009Q1","Other","Domestic","Thousand","37"
"Number of Trips by Irish Residents","2009Q1","Other","Outbound","Thousand","49"
"Number of Trips by Irish Residents","2009Q2","All types of accommodation","Domestic","Thousand","2042"
"Number of Trips by Irish Residents","2009Q2","All types of accommodation","Outbound","Thousand","1927"
"Number of Trips by Irish Residents","2009Q2","Friends/relatives","Domestic","Thousand","683"
"Number of Trips by Irish Residents","2009Q2","Friends/relatives","Outbound","Thousand","467"
"Number of Trips by Irish Residents","2009Q2","Hotel/conference centre","Domestic","Thousand","800"
"Number of Trips by Irish Residents","2009Q2","Hotel/conference centre","Outbound","Thousand","785"
"Number of Trips by Irish Residents","2009Q2","Self catering/rented house","Domestic","Thousand","135"
"Number of Trips by Irish Residents","2009Q2","Self catering/rented house","Outbound","Thousand","358"
"Number of Trips by Irish Residents","2009Q2","Other","Domestic","Thousand","90"
"Number of Trips by Irish Residents","2009Q2","Other","Outbound","Thousand","85"
"Number of Trips by Irish Residents","2009Q3","All types of accommodation","Domestic","Thousand","2512"
"Number of Trips by Irish Residents","2009Q3","All types of accommodation","Outbound","Thousand","2232"
"Number of Trips by Irish Residents","2009Q3","Friends/relatives","Domestic","Thousand","775"
"Number of Trips by Irish Residents","2009Q3","Friends/relatives","Outbound","Thousand","561"
"Number of Trips by Irish Residents","2009Q3","Hotel/conference centre","Domestic","Thousand","940"
"Number of Trips by Irish Residents","2009Q3","Hotel/conference centre","Outbound","Thousand","816"
"Number of Trips by Irish Residents","2009Q3","Self catering/rented house","Domestic","Thousand","238"
"Number of Trips by Irish Residents","2009Q3","Self catering/rented house","Outbound","Thousand","474"
"Number of Trips by Irish Residents","2009Q3","Other","Domestic","Thousand","89"
"Number of Trips by Irish Residents","2009Q3","Other","Outbound","Thousand","81"
"Number of Trips by Irish Residents","2009Q4","All types of accommodation","Domestic","Thousand","2026"
"Number of Trips by Irish Residents","2009Q4","All types of accommodation","Outbound","Thousand","1536"
"Number of Trips by Irish Residents","2009Q4","Friends/relatives","Domestic","Thousand","813"
"Number of Trips by Irish Residents","2009Q4","Friends/relatives","Outbound","Thousand","526"
"Number of Trips by Irish Residents","2009Q4","Hotel/conference centre","Domestic","Thousand","903"
"Number of Trips by Irish Residents","2009Q4","Hotel/conference centre","Outbound","Thousand","717"
"Number of Trips by Irish Residents","2009Q4","Self catering/rented house","Domestic","Thousand","69"
"Number of Trips by Irish Residents","2009Q4","Self catering/rented house","Outbound","Thousand","144"
"Number of Trips by Irish Residents","2009Q4","Other","Domestic","Thousand","53"
"Number of Trips by Irish Residents","2009Q4","Other","Outbound","Thousand","44"
"Number of Trips by Irish Residents","2012Q1","All types of accommodation","Domestic","Thousand","1602"
"Number of Trips by Irish Residents","2012Q1","All types of accommodation","Outbound","Thousand","1310"
"Number of Trips by Irish Residents","2012Q1","Friends/relatives","Domestic","Thousand","575"
"Number of Trips by Irish Residents","2012Q1","Friends/relatives","Outbound","Thousand","408"
"Number of Trips by Irish Residents","2012Q1","Hotel/conference centre","Domestic","Thousand","738"
"Number of Trips by Irish Residents","2012Q1","Hotel/conference centre","Outbound","Thousand","584"
"Number of Trips by Irish Residents","2012Q1","Self catering/rented house","Domestic","Thousand","86"
"Number of Trips by Irish Residents","2012Q1","Self catering/rented house","Outbound","Thousand","193"
"Number of Trips by Irish Residents","2012Q1","Other","Domestic","Thousand","204"
"Number of Trips by Irish Residents","2012Q1","Other","Outbound","Thousand","126"
"Number of Trips by Irish Residents","2012Q2","All types of accommodation","Domestic","Thousand","1952"
"Number of Trips by Irish Residents","2012Q2","All types of accommodation","Outbound","Thousand","1823"
"Number of Trips by Irish Residents","2012Q2","Friends/relatives","Domestic","Thousand","728"
"Number of Trips by Irish Residents","2012Q2","Friends/relatives","Outbound","Thousand","416"
"Number of Trips by Irish Residents","2012Q2","Hotel/conference centre","Domestic","Thousand","711"
"Number of Trips by Irish Residents","2012Q2","Hotel/conference centre","Outbound","Thousand","755"
"Number of Trips by Irish Residents","2012Q2","Self catering/rented house","Domestic","Thousand","142"
"Number of Trips by Irish Residents","2012Q2","Self catering/rented house","Outbound","Thousand","394"
"Number of Trips by Irish Residents","2012Q2","Other","Domestic","Thousand","370"
"Number of Trips by Irish Residents","2012Q2","Other","Outbound","Thousand","257"
"Number of Trips by Irish Residents","2012Q3","All types of accommodation","Domestic","Thousand","2950"
"Number of Trips by Irish Residents","2012Q3","All types of accommodation","Outbound","Thousand","2062"
"Number of Trips by Irish Residents","2012Q3","Friends/relatives","Domestic","Thousand","818"
"Number of Trips by Irish Residents","2012Q3","Friends/relatives","Outbound","Thousand","460"
"Number of Trips by Irish Residents","2012Q3","Hotel/conference centre","Domestic","Thousand","1088"
"Number of Trips by Irish Residents","2012Q3","Hotel/conference centre","Outbound","Thousand","680"
"Number of Trips by Irish Residents","2012Q3","Self catering/rented house","Domestic","Thousand","331"
"Number of Trips by Irish Residents","2012Q3","Self catering/rented house","Outbound","Thousand","541"
"Number of Trips by Irish Residents","2012Q3","Other","Domestic","Thousand","713"
"Number of Trips by Irish Residents","2012Q3","Other","Outbound","Thousand","380"
"Number of Trips by Irish Residents","2012Q4","All types of accommodation","Domestic","Thousand","1787"
"Number of Trips by Irish Residents","2012Q4","All types of accommodation","Outbound","Thousand","1428"
"Number of Trips by Irish Residents","2012Q4","Friends/relatives","Domestic","Thousand","776"
"Number of Trips by Irish Residents","2012Q4","Friends/relatives","Outbound","Thousand","377"
"Number of Trips by Irish Residents","2012Q4","Hotel/conference centre","Domestic","Thousand","777"
"Number of Trips by Irish Residents","2012Q4","Hotel/conference centre","Outbound","Thousand","670"
"Number of Trips by Irish Residents","2012Q4","Self catering/rented house","Domestic","Thousand","84"
"Number of Trips by Irish Residents","2012Q4","Self catering/rented house","Outbound","Thousand","236"
"Number of Trips by Irish Residents","2012Q4","Other","Domestic","Thousand","151"
"Number of Trips by Irish Residents","2012Q4","Other","Outbound","Thousand","144"
"Number of Trips by Irish Residents","2013Q1","All types of accommodation","Domestic","Thousand","1514"
"Number of Trips by Irish Residents","2013Q1","All types of accommodation","Outbound","Thousand","1299"
"Number of Trips by Irish Residents","2013Q1","Friends/relatives","Domestic","Thousand","588"
"Number of Trips by Irish Residents","2013Q1","Friends/relatives","Outbound","Thousand","393"
"Number of Trips by Irish Residents","2013Q1","Hotel/conference centre","Domestic","Thousand","696"
"Number of Trips by Irish Residents","2013Q1","Hotel/conference centre","Outbound","Thousand","645"
"Number of Trips by Irish Residents","2013Q1","Self catering/rented house","Domestic","Thousand","83"
"Number of Trips by Irish Residents","2013Q1","Self catering/rented house","Outbound","Thousand","152"
"Number of Trips by Irish Residents","2013Q1","Other","Domestic","Thousand","148"
"Number of Trips by Irish Residents","2013Q1","Other","Outbound","Thousand","109"
"Number of Trips by Irish Residents","2013Q2","All types of accommodation","Domestic","Thousand","2048"
"Number of Trips by Irish Residents","2013Q2","All types of accommodation","Outbound","Thousand","1813"
"Number of Trips by Irish Residents","2013Q2","Friends/relatives","Domestic","Thousand","757"
"Number of Trips by Irish Residents","2013Q2","Friends/relatives","Outbound","Thousand","499"
"Number of Trips by Irish Residents","2013Q2","Hotel/conference centre","Domestic","Thousand","795"
"Number of Trips by Irish Residents","2013Q2","Hotel/conference centre","Outbound","Thousand","766"
"Number of Trips by Irish Residents","2013Q2","Self catering/rented house","Domestic","Thousand","140"
"Number of Trips by Irish Residents","2013Q2","Self catering/rented house","Outbound","Thousand","316"
"Number of Trips by Irish Residents","2013Q2","Other","Domestic","Thousand","356"
"Number of Trips by Irish Residents","2013Q2","Other","Outbound","Thousand","232"
"Number of Trips by Irish Residents","2013Q3","All types of accommodation","Domestic","Thousand","3039"
"Number of Trips by Irish Residents","2013Q3","All types of accommodation","Outbound","Thousand","2098"
