DATAFLOW,LAST UPDATE,freq,unit,meatitem,meat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2017,42.20,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2018,43.78,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2019,45.43,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2020,43.37,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2021,43.18,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2022,41.23,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HR,2023,41.18,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2012,24.71,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2013,22.64,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2014,23.11,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2015,26.39,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2016,28.07,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2017,27.21,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2018,29.15,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2019,29.73,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2020,28.07,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2021,28.93,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2022,25.68,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,HU,2023,23.18,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2012,495.40,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2013,517.57,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2014,581.81,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2015,564.14,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2016,588.36,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2017,617.02,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2018,622.54,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2019,619.80,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2020,633.38,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2021,594.51,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2022,621.42,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IE,2023,599.81,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2012,3.90,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2013,3.80,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2014,3.70,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2015,3.50,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2016,6.95,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2017,4.61,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2018,4.77,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2019,4.81,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2020,4.64,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2021,4.96,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2022,4.99,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IS,2023,4.90,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2012,981.12,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2013,855.32,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2014,709.43,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2015,788.28,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2016,809.66,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2017,756.42,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2018,809.22,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2019,779.82,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2020,732.28,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2021,747.89,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2022,747.21,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,IT,2023,619.85,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2012,39.95,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2013,36.77,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2014,39.26,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2015,44.13,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2016,42.29,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2017,40.88,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2018,40.28,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2019,42.46,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2020,41.73,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2021,43.70,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2022,42.30,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LT,2023,43.12,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LU,2012,8.47,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,LU,2013,7.95,
