"Statistic Label","Detailed Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2015Q4","Thousand","89.2"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2016Q1","Thousand","79.8"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2016Q2","Thousand","100.8"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2016Q3","Thousand","120.6"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2016Q4","Thousand","83.1"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2017Q1","Thousand","78.9"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2017Q2","Thousand","108.9"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2017Q3","Thousand","110.8"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2017Q4","Thousand","93.3"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2018Q1","Thousand","78"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2018Q2","Thousand","115.3"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2018Q3","Thousand","114.7"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2018Q4","Thousand","98.3"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2019Q1","Thousand","80.9"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2019Q2","Thousand","112.5"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2019Q3","Thousand","110.1"
"Overseas Trips to Ireland","Belgium, Netherlands and Luxembourg","2019Q4","Thousand","95.7"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2010Q1","Thousand","25.5"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2010Q2","Thousand","41.4"
"Overseas Trips to Ireland","Norway, Sweden, Finland and Denmark","2010Q3","Thousand","55.8"
