"Area of Residence","Month","Statistic Label","UNIT","VALUE"
"Great Britain","2019M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","318.7"
"Great Britain","2019M08","Overseas Trips to Ireland","Thousand","393.9"
"Great Britain","2019M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","304"
"Great Britain","2019M09","Overseas Trips to Ireland","Thousand","315.6"
"Great Britain","2019M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","315.1"
"Great Britain","2019M10","Overseas Trips to Ireland","Thousand","336.4"
"Great Britain","2019M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","326.1"
"Great Britain","2019M11","Overseas Trips to Ireland","Thousand","277.6"
"Great Britain","2019M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","305.5"
"Great Britain","2019M12","Overseas Trips to Ireland","Thousand","314.3"
"Great Britain","2019M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","329.5"
"Great Britain","2020M01","Overseas Trips to Ireland","Thousand","266.9"
"Great Britain","2020M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","328.1"
"Great Britain","2020M02","Overseas Trips to Ireland","Thousand","282.1"
"Great Britain","2020M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","336.3"
"Other Europe (27)","2016M01","Overseas Trips to Ireland","Thousand","165.2"
"Other Europe (27)","2016M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","264.1"
"Other Europe (27)","2016M02","Overseas Trips to Ireland","Thousand","186"
"Other Europe (27)","2016M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","280.1"
"Other Europe (27)","2016M03","Overseas Trips to Ireland","Thousand","248.4"
"Other Europe (27)","2016M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","275.3"
"Other Europe (27)","2016M04","Overseas Trips to Ireland","Thousand","291.3"
"Other Europe (27)","2016M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","268"
"Other Europe (27)","2016M05","Overseas Trips to Ireland","Thousand","321.9"
"Other Europe (27)","2016M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","268.9"
"Other Europe (27)","2016M06","Overseas Trips to Ireland","Thousand","315.3"
"Other Europe (27)","2016M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","273.7"
"Other Europe (27)","2016M07","Overseas Trips to Ireland","Thousand","383.1"
"Other Europe (27)","2016M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","289.6"
"Other Europe (27)","2016M08","Overseas Trips to Ireland","Thousand","397.8"
"Other Europe (27)","2016M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","293.7"
"Other Europe (27)","2016M09","Overseas Trips to Ireland","Thousand","304.4"
"Other Europe (27)","2016M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","277"
"Other Europe (27)","2016M10","Overseas Trips to Ireland","Thousand","276.8"
"Other Europe (27)","2016M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","266.6"
"Other Europe (27)","2016M11","Overseas Trips to Ireland","Thousand","206.1"
"Other Europe (27)","2016M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","266.4"
"Other Europe (27)","2016M12","Overseas Trips to Ireland","Thousand","205.8"
