"Method of Booking","Domestic or Outbound","Year","Statistic Label","UNIT","VALUE"
"Internet","Domestic","2003","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2004","Number of Trips by Irish Residents","Thousand",""
"Internet","Domestic","2004","Number of Nights by Irish Residents","Thousand",""
"Internet","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Domestic","2005","Number of Trips by Irish Residents","Thousand","200"
"Internet","Domestic","2005","Number of Nights by Irish Residents","Thousand","450"
"Internet","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Internet","Domestic","2006","Number of Trips by Irish Residents","Thousand","1239"
"Internet","Domestic","2006","Number of Nights by Irish Residents","Thousand","3490"
"Internet","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Internet","Domestic","2007","Number of Trips by Irish Residents","Thousand","1619"
"Internet","Domestic","2007","Number of Nights by Irish Residents","Thousand","4616"
"Internet","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"Internet","Domestic","2008","Number of Trips by Irish Residents","Thousand","1958"
"Internet","Domestic","2008","Number of Nights by Irish Residents","Thousand","5127"
"Internet","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Internet","Domestic","2009","Number of Trips by Irish Residents","Thousand","2203"
"Internet","Domestic","2009","Number of Nights by Irish Residents","Thousand","5781"
"Internet","Domestic","2009","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Internet","Outbound","2003","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2003","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2003","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2004","Number of Trips by Irish Residents","Thousand",""
"Internet","Outbound","2004","Number of Nights by Irish Residents","Thousand",""
"Internet","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip",""
"Internet","Outbound","2005","Number of Trips by Irish Residents","Thousand","837"
"Internet","Outbound","2005","Number of Nights by Irish Residents","Thousand","4979"
"Internet","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"Internet","Outbound","2006","Number of Trips by Irish Residents","Thousand","4272"
"Internet","Outbound","2006","Number of Nights by Irish Residents","Thousand","31324"
"Internet","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Internet","Outbound","2007","Number of Trips by Irish Residents","Thousand","5080"
"Internet","Outbound","2007","Number of Nights by Irish Residents","Thousand","38257"
"Internet","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip","7.5"
"Internet","Outbound","2008","Number of Trips by Irish Residents","Thousand","5483"
"Internet","Outbound","2008","Number of Nights by Irish Residents","Thousand","41166"
"Internet","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip","7.5"
"Internet","Outbound","2009","Number of Trips by Irish Residents","Thousand","5293"
"Internet","Outbound","2009","Number of Nights by Irish Residents","Thousand","38468"
"Internet","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Direct","Domestic","2003","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2003","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2004","Number of Trips by Irish Residents","Thousand",""
"Direct","Domestic","2004","Number of Nights by Irish Residents","Thousand",""
"Direct","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Domestic","2005","Number of Trips by Irish Residents","Thousand","481"
"Direct","Domestic","2005","Number of Nights by Irish Residents","Thousand","998"
"Direct","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","2.1"
"Direct","Domestic","2006","Number of Trips by Irish Residents","Thousand","2232"
"Direct","Domestic","2006","Number of Nights by Irish Residents","Thousand","6831"
"Direct","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Direct","Domestic","2007","Number of Trips by Irish Residents","Thousand","2214"
"Direct","Domestic","2007","Number of Nights by Irish Residents","Thousand","6997"
"Direct","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"Direct","Domestic","2008","Number of Trips by Irish Residents","Thousand","2013"
"Direct","Domestic","2008","Number of Nights by Irish Residents","Thousand","5908"
"Direct","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"Direct","Domestic","2009","Number of Trips by Irish Residents","Thousand","1976"
"Direct","Domestic","2009","Number of Nights by Irish Residents","Thousand","6073"
"Direct","Domestic","2009","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Direct","Outbound","2003","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2003","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2003","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2004","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2004","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2005","Number of Trips by Irish Residents","Thousand","90"
"Direct","Outbound","2005","Number of Nights by Irish Residents","Thousand","537"
"Direct","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","6"
"Direct","Outbound","2006","Number of Trips by Irish Residents","Thousand","405"
"Direct","Outbound","2006","Number of Nights by Irish Residents","Thousand","3136"
"Direct","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","7.7"
"Direct","Outbound","2007","Number of Trips by Irish Residents","Thousand","440"
"Direct","Outbound","2007","Number of Nights by Irish Residents","Thousand","3411"
"Direct","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip","7.8"
"Direct","Outbound","2008","Number of Trips by Irish Residents","Thousand","389"
"Direct","Outbound","2008","Number of Nights by Irish Residents","Thousand","2986"
"Direct","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip","7.7"
"Direct","Outbound","2009","Number of Trips by Irish Residents","Thousand","381"
"Direct","Outbound","2009","Number of Nights by Irish Residents","Thousand","2778"
"Direct","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Privately booked/No pre-booking","Domestic","2003","Number of Trips by Irish Residents","Thousand","5993"
"Privately booked/No pre-booking","Domestic","2003","Number of Nights by Irish Residents","Thousand","21463"
"Privately booked/No pre-booking","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"Privately booked/No pre-booking","Domestic","2004","Number of Trips by Irish Residents","Thousand","6302"
"Privately booked/No pre-booking","Domestic","2004","Number of Nights by Irish Residents","Thousand","21899"
"Privately booked/No pre-booking","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"Privately booked/No pre-booking","Domestic","2005","Number of Trips by Irish Residents","Thousand","6540"
"Privately booked/No pre-booking","Domestic","2005","Number of Nights by Irish Residents","Thousand","22598"
"Privately booked/No pre-booking","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"Privately booked/No pre-booking","Domestic","2006","Number of Trips by Irish Residents","Thousand","6810"
"Privately booked/No pre-booking","Domestic","2006","Number of Nights by Irish Residents","Thousand","22653"
"Privately booked/No pre-booking","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"Privately booked/No pre-booking","Domestic","2007","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2008","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2009","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2003","Number of Trips by Irish Residents","Thousand","2805"
"Privately booked/No pre-booking","Outbound","2003","Number of Nights by Irish Residents","Thousand","23482"
"Privately booked/No pre-booking","Outbound","2003","Average Length of Stay by Irish Residents","Nights per Trip","8.4"
"Privately booked/No pre-booking","Outbound","2004","Number of Trips by Irish Residents","Thousand","3246"
"Privately booked/No pre-booking","Outbound","2004","Number of Nights by Irish Residents","Thousand","26548"
"Privately booked/No pre-booking","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip","8.2"
"Privately booked/No pre-booking","Outbound","2005","Number of Trips by Irish Residents","Thousand","4022"
"Privately booked/No pre-booking","Outbound","2005","Number of Nights by Irish Residents","Thousand","32065"
"Privately booked/No pre-booking","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","8"
"Privately booked/No pre-booking","Outbound","2006","Number of Trips by Irish Residents","Thousand","4948"
"Privately booked/No pre-booking","Outbound","2006","Number of Nights by Irish Residents","Thousand","35938"
"Privately booked/No pre-booking","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","7.3"
"Privately booked/No pre-booking","Outbound","2007","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2008","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2009","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip",""
