"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Midland","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","53"
"Midland","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","137"
"Midland","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"Midland","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","60"
"Midland","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","157"
"Midland","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"Midland","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","63"
"Midland","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","191"
"Midland","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3"
"Midland","South-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","51"
"Midland","South-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","194"
"Midland","South-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"Midland","South-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","South-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","South-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","South-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","44"
"Midland","South-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","160"
"Midland","South-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"Midland","South-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","52"
"Midland","South-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","207"
"Midland","South-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4"
"Midland","South-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","59"
"Midland","South-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","223"
"Midland","South-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"Midland","South-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","63"
"Midland","South-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","217"
"Midland","South-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Midland","South-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","South-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Midland","South-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Midland","South-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border, Midland and Western","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border, Midland and Western","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border, Midland and Western","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border, Midland and Western","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border, Midland and Western","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border, Midland and Western","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border, Midland and Western","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","60"
"West","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","187"
"West","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"West","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","57"
"West","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","169"
"West","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3"
"West","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","78"
"West","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","223"
"West","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"West","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","102"
"West","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","329"
"West","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"West","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","26"
"West","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","72"
"West","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"West","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","20"
"West","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","66"
"West","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"West","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","26"
"West","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","48"
"West","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","1.8"
"West","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","30"
"West","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","72"
"West","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.4"
"West","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"West","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"West","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"West","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","185"
