"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","United States and Canada","Nights per Trip","17"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","Other Europe (20)","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","Other countries (24)","Nights per Trip","23.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other reasons","All Countries","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other reasons","United States and Canada","Nights per Trip","12.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other reasons","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other reasons","EU27 excluding Ireland","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other reasons","Other Europe (20)","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other reasons","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other reasons","Other countries (24)","Nights per Trip","23.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","All Countries","Nights per Trip","8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","United States and Canada","Nights per Trip","15"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","EU27 excluding Ireland","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","Other Europe (20)","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All reasons for journey","Other countries (24)","Nights per Trip","17.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Holiday","All Countries","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Holiday","United States and Canada","Nights per Trip","14.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Holiday","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Holiday","EU27 excluding Ireland","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Holiday","Other Europe (20)","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Holiday","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Holiday","Other countries (24)","Nights per Trip","17.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Business","All Countries","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Business","United States and Canada","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Business","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Business","EU27 excluding Ireland","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Business","Other Europe (20)","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Business","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Business","Other countries (24)","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","All Countries","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","United States and Canada","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","Other Europe (20)","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Visiting friends/relatives","Other countries (24)","Nights per Trip","19.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other reasons","All Countries","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other reasons","United States and Canada","Nights per Trip","31"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other reasons","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other reasons","EU27 excluding Ireland","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other reasons","Other Europe (20)","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other reasons","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other reasons","Other countries (24)","Nights per Trip","22.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","All Countries","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","United States and Canada","Nights per Trip","14.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","EU28 excluding Ireland","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","Other Europe (21)","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","Other countries (24)","Nights per Trip","20.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Holiday","All Countries","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Holiday","United States and Canada","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Holiday","EU28 excluding Ireland","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Holiday","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Holiday","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Holiday","Other Europe (21)","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Holiday","Other countries (24)","Nights per Trip","18.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Business","All Countries","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Business","United States and Canada","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Business","EU28 excluding Ireland","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Business","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Business","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Business","Other Europe (21)","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Business","Other countries (24)","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","All Countries","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","United States and Canada","Nights per Trip","13.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","Other Europe (20)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","Other Europe (21)","Nights per Trip","11.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Visiting friends/relatives","Other countries (24)","Nights per Trip","23.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other reasons","All Countries","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Other reasons","United States and Canada","Nights per Trip","37.7"
