"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"DE","Germany","2","Visit to friends/relatives","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"DE","Germany","2","Visit to friends/relatives","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"DE","Germany","2","Visit to friends/relatives","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"DE","Germany","2","Visit to friends/relatives","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"DE","Germany","2","Visit to friends/relatives","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","2","Visit to friends/relatives","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"DE","Germany","2","Visit to friends/relatives","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","2","Visit to friends/relatives","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"DE","Germany","2","Visit to friends/relatives","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"DE","Germany","2","Visit to friends/relatives","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"DE","Germany","2","Visit to friends/relatives","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"DE","Germany","2","Visit to friends/relatives","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"DE","Germany","2","Visit to friends/relatives","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"DE","Germany","2","Visit to friends/relatives","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","2","Visit to friends/relatives","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"DE","Germany","2","Visit to friends/relatives","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","2","Visit to friends/relatives","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"DE","Germany","2","Visit to friends/relatives","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"DE","Germany","2","Visit to friends/relatives","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"DE","Germany","2","Visit to friends/relatives","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"DE","Germany","3","Business","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"DE","Germany","3","Business","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","3","Business","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"DE","Germany","3","Business","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"DE","Germany","3","Business","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.6"
"DE","Germany","3","Business","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","4"
"DE","Germany","3","Business","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"DE","Germany","3","Business","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","3","Business","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","3","Business","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"DE","Germany","3","Business","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"DE","Germany","3","Business","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"DE","Germany","3","Business","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"DE","Germany","3","Business","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"DE","Germany","3","Business","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"DE","Germany","3","Business","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"DE","Germany","3","Business","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"DE","Germany","3","Business","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"DE","Germany","3","Business","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"DE","Germany","3","Business","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","3","Business","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"DE","Germany","3","Business","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"DE","Germany","3","Business","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"DE","Germany","3","Business","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"DE","Germany","3","Business","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"DE","Germany","3","Business","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"DE","Germany","3","Business","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"DE","Germany","3","Business","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"DE","Germany","3","Business","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.1"
"DE","Germany","3","Business","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","14"
"DE","Germany","3","Business","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","3","Business","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"DE","Germany","3","Business","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","7"
"DE","Germany","3","Business","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"DE","Germany","3","Business","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"DE","Germany","3","Business","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"DE","Germany","3","Business","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"DE","Germany","3","Business","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","3","Business","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","3","Business","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"DE","Germany","3","Business","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"DE","Germany","3","Business","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"DE","Germany","3","Business","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","9"
"DE","Germany","3","Business","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"DE","Germany","3","Business","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"DE","Germany","3","Business","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","3","Business","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"DE","Germany","3","Business","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","8"
"DE","Germany","3","Business","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","3"
"DE","Germany","3","Business","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","12"
"DE","Germany","3","Business","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.9"
"DE","Germany","3","Business","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"DE","Germany","3","Business","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"DE","Germany","3","Business","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"DE","Germany","3","Business","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"DE","Germany","3","Business","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"DE","Germany","3","Business","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
