"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","1","Holiday/leisure/recreation","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","861"
"-","All Countries","1","Holiday/leisure/recreation","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"-","All Countries","1","Holiday/leisure/recreation","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1106"
"-","All Countries","1","Holiday/leisure/recreation","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"-","All Countries","1","Holiday/leisure/recreation","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","507"
"-","All Countries","1","Holiday/leisure/recreation","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"-","All Countries","1","Holiday/leisure/recreation","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","350"
"-","All Countries","1","Holiday/leisure/recreation","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"-","All Countries","1","Holiday/leisure/recreation","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","925"
"-","All Countries","1","Holiday/leisure/recreation","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"-","All Countries","1","Holiday/leisure/recreation","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1249"
"-","All Countries","1","Holiday/leisure/recreation","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
