"STATISTIC Label","Month","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010 June","Belgium","Arrivals","Thousand","13.4"
"Air and Sea Travel","2010 June","Belgium","Departures","Thousand","14.4"
"Air and Sea Travel","2010 June","Germany","Arrivals","Thousand","58"
"Air and Sea Travel","2010 June","Germany","Departures","Thousand","65.1"
"Air and Sea Travel","2010 June","Spain","Arrivals","Thousand","159.4"
"Air and Sea Travel","2010 June","Spain","Departures","Thousand","173.3"
"Air and Sea Travel","2010 June","France","Arrivals","Thousand","103.9"
"Air and Sea Travel","2010 June","France","Departures","Thousand","121.7"
"Air and Sea Travel","2010 June","Italy","Arrivals","Thousand","47.1"
"Air and Sea Travel","2010 June","Italy","Departures","Thousand","49.6"
"Air and Sea Travel","2010 June","Netherlands","Arrivals","Thousand","29.2"
"Air and Sea Travel","2010 June","Netherlands","Departures","Thousand","32.2"
"Air and Sea Travel","2010 June","Poland","Arrivals","Thousand","43.7"
"Air and Sea Travel","2010 June","Poland","Departures","Thousand","47.1"
"Air and Sea Travel","2010 June","Portugal","Arrivals","Thousand","37.6"
"Air and Sea Travel","2010 June","Portugal","Departures","Thousand","43.2"
"Air and Sea Travel","2010 June","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","73.8"
"Air and Sea Travel","2010 June","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","80"
"Air and Sea Travel","2010 June","Switzerland","Arrivals","Thousand","10"
"Air and Sea Travel","2010 June","Switzerland","Departures","Thousand","10.8"
"Air and Sea Travel","2010 June","Other Europe (34)","Arrivals","Thousand","7"
"Air and Sea Travel","2010 June","Other Europe (34)","Departures","Thousand","6.8"
"Air and Sea Travel","2010 June","United States","Arrivals","Thousand","94.4"
"Air and Sea Travel","2010 June","United States","Departures","Thousand","92.4"
"Air and Sea Travel","2010 June","Other Transatlantic Countries(1)","Arrivals","Thousand","6.9"
"Air and Sea Travel","2010 June","Other Transatlantic Countries(1)","Departures","Thousand","6.8"
"Air and Sea Travel","2010 June","United Arab Emirates","Arrivals","Thousand","8.2"
"Air and Sea Travel","2010 June","United Arab Emirates","Departures","Thousand","8.7"
"Air and Sea Travel","2010 June","Other Countries(42)","Arrivals","Thousand","13.2"
"Air and Sea Travel","2010 June","Other Countries(42)","Departures","Thousand","15"
