"Area of Residence","Reason for Journey","Quarter","Statistic Label","UNIT","VALUE"
"France","Holiday/leisure/recreation","2013Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Holiday/leisure/recreation","2014Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"France","Holiday/leisure/recreation","2014Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","10"
"France","Holiday/leisure/recreation","2014Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2014Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"France","Holiday/leisure/recreation","2014Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","37"
"France","Holiday/leisure/recreation","2014Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Holiday/leisure/recreation","2014Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"France","Holiday/leisure/recreation","2014Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"France","Holiday/leisure/recreation","2014Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2014Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"France","Holiday/leisure/recreation","2014Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","15"
"France","Holiday/leisure/recreation","2014Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2015Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"France","Holiday/leisure/recreation","2015Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","13"
"France","Holiday/leisure/recreation","2015Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2015Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"France","Holiday/leisure/recreation","2015Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"France","Holiday/leisure/recreation","2015Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Holiday/leisure/recreation","2015Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"France","Holiday/leisure/recreation","2015Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"France","Holiday/leisure/recreation","2015Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2015Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"France","Holiday/leisure/recreation","2015Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"France","Holiday/leisure/recreation","2015Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2016Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"France","Holiday/leisure/recreation","2016Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","17"
"France","Holiday/leisure/recreation","2016Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2016Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"France","Holiday/leisure/recreation","2016Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","62"
"France","Holiday/leisure/recreation","2016Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"France","Holiday/leisure/recreation","2016Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"France","Holiday/leisure/recreation","2016Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","78"
"France","Holiday/leisure/recreation","2016Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2016Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"France","Holiday/leisure/recreation","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","18"
"France","Holiday/leisure/recreation","2016Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Holiday/leisure/recreation","2017Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"France","Holiday/leisure/recreation","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"France","Holiday/leisure/recreation","2017Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2017Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"France","Holiday/leisure/recreation","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","57"
"France","Holiday/leisure/recreation","2017Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2017Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"France","Holiday/leisure/recreation","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","74"
"France","Holiday/leisure/recreation","2017Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2017Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"France","Holiday/leisure/recreation","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","33"
"France","Holiday/leisure/recreation","2017Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2018Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"France","Holiday/leisure/recreation","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"France","Holiday/leisure/recreation","2018Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2018Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"France","Holiday/leisure/recreation","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"France","Holiday/leisure/recreation","2018Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2018Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"France","Holiday/leisure/recreation","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","74"
"France","Holiday/leisure/recreation","2018Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2018Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"France","Holiday/leisure/recreation","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","22"
"France","Holiday/leisure/recreation","2018Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","5"
"France","Holiday/leisure/recreation","2019Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"France","Holiday/leisure/recreation","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"France","Holiday/leisure/recreation","2019Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"France","Holiday/leisure/recreation","2019Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"France","Holiday/leisure/recreation","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","50"
"France","Holiday/leisure/recreation","2019Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","7"
"France","Holiday/leisure/recreation","2019Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"France","Holiday/leisure/recreation","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","76"
"France","Holiday/leisure/recreation","2019Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Holiday/leisure/recreation","2019Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"France","Holiday/leisure/recreation","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","21"
"France","Holiday/leisure/recreation","2019Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","6"
"France","Visit to friends/relatives","2012Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"France","Visit to friends/relatives","2012Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"France","Visit to friends/relatives","2012Q1","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2012Q2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"France","Visit to friends/relatives","2012Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","6"
"France","Visit to friends/relatives","2012Q2","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","4"
"France","Visit to friends/relatives","2012Q3","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.4"
"France","Visit to friends/relatives","2012Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"France","Visit to friends/relatives","2012Q3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"France","Visit to friends/relatives","2012Q4","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"France","Visit to friends/relatives","2012Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
"France","Visit to friends/relatives","2012Q4","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","3"
"France","Visit to friends/relatives","2013Q1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"France","Visit to friends/relatives","2013Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","5"
