"Type of Trip","Quarter","Statistic Label","UNIT","VALUE"
"Trips with at least one overnight","2016Q4","Overseas Trips by Irish Residents","Thousand","1635"
"Trips with at least one overnight","2016Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","918"
"Trips with at least one overnight","2017Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1572"
"Trips with at least one overnight","2017Q1","Overseas Trips by Irish Residents","Thousand","1509"
"Trips with at least one overnight","2017Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","675"
"Trips with at least one overnight","2017Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2452"
"Trips with at least one overnight","2017Q2","Overseas Trips by Irish Residents","Thousand","2054"
"Trips with at least one overnight","2017Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1392"
"Trips with at least one overnight","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2725"
"Trips with at least one overnight","2017Q3","Overseas Trips by Irish Residents","Thousand","2449"
"Trips with at least one overnight","2017Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1723"
"Trips with at least one overnight","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","1977"
"Trips with at least one overnight","2017Q4","Overseas Trips by Irish Residents","Thousand","1715"
"Trips with at least one overnight","2017Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1031"
"Trips with at least one overnight","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1672"
"Trips with at least one overnight","2018Q1","Overseas Trips by Irish Residents","Thousand","1558"
"Trips with at least one overnight","2018Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","786"
"Trips with at least one overnight","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2619"
"Trips with at least one overnight","2018Q2","Overseas Trips by Irish Residents","Thousand","2204"
"Trips with at least one overnight","2018Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1462"
"Trips with at least one overnight","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2918"
"Trips with at least one overnight","2018Q3","Overseas Trips by Irish Residents","Thousand","2512"
"Trips with at least one overnight","2018Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1820"
"Trips with at least one overnight","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2068"
"Trips with at least one overnight","2018Q4","Overseas Trips by Irish Residents","Thousand","1811"
"Trips with at least one overnight","2018Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1035"
"Trips with at least one overnight","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","1768"
"Trips with at least one overnight","2019Q1","Overseas Trips by Irish Residents","Thousand","1675"
"Trips with at least one overnight","2019Q1","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","754"
"Trips with at least one overnight","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","2618"
"Trips with at least one overnight","2019Q2","Overseas Trips by Irish Residents","Thousand","2351"
"Trips with at least one overnight","2019Q2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1500"
"Trips with at least one overnight","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","2893"
"Trips with at least one overnight","2019Q3","Overseas Trips by Irish Residents","Thousand","2733"
"Trips with at least one overnight","2019Q3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1813"
"Trips with at least one overnight","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","2078"
"Trips with at least one overnight","2019Q4","Overseas Trips by Irish Residents","Thousand","1860"
"Trips with at least one overnight","2019Q4","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","990"
