"Statistic Label","Type of Accommodation Used","Area of Residence","Quarter","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2014Q2","Thousand","948"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2014Q3","Thousand","1108"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2014Q4","Thousand","867"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2015Q1","Thousand","796"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2015Q2","Thousand","1129"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2015Q3","Thousand","1411"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2015Q4","Thousand","1009"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2016Q1","Thousand","948"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2016Q2","Thousand","1271"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2016Q3","Thousand","1278"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2016Q4","Thousand","1058"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2017Q1","Thousand","889"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2017Q2","Thousand","1117"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2017Q3","Thousand","1066"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2017Q4","Thousand","956"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2018Q1","Thousand","875"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2018Q2","Thousand","1019"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2018Q3","Thousand","1116"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2018Q4","Thousand","959"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2019Q1","Thousand","914"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2019Q2","Thousand","1123"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2019Q3","Thousand","1150"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Great Britain","2019Q4","Thousand","1027"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2012Q1","Thousand","559"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2012Q2","Thousand","1869"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2012Q3","Thousand","2057"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2012Q4","Thousand","1085"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2013Q1","Thousand","721"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2013Q2","Thousand","1875"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Europe","2013Q3","Thousand","2008"
