"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20191","2019Q1","Thousand","1857"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20192","2019Q2","Thousand","2095"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20193","2019Q3","Thousand","3029"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","04","Other Areas","20194","2019Q4","Thousand","2011"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20121","2012Q1","Thousand","1781"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20122","2012Q2","Thousand","4175"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20123","2012Q3","Thousand","5195"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20124","2012Q4","Thousand","3029"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20131","2013Q1","Thousand","1906"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20132","2013Q2","Thousand","4489"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20133","2013Q3","Thousand","5126"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20134","2013Q4","Thousand","2751"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20141","2014Q1","Thousand","2071"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20142","2014Q2","Thousand","4141"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20143","2014Q3","Thousand","5497"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20144","2014Q4","Thousand","2998"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20151","2015Q1","Thousand","2354"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20152","2015Q2","Thousand","4997"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20153","2015Q3","Thousand","6522"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20154","2015Q4","Thousand","3501"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20161","2016Q1","Thousand","2708"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20162","2016Q2","Thousand","5391"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20163","2016Q3","Thousand","6452"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20164","2016Q4","Thousand","3971"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20171","2017Q1","Thousand","2700"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20172","2017Q2","Thousand","6058"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20173","2017Q3","Thousand","6610"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20174","2017Q4","Thousand","3814"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","111","Hotels","-","All areas of residence","20181","2018Q1","Thousand","3036"
